model,kernel,delta_ood,setting,qs,seed
gpc,matern15_med,0.0048630126018798904,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
gpc,matern25_med,0.007018302349041638,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
gpc,poly2,-0.013974155738098681,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
gpc,poly3,-0.027817008534691157,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
gpc,rbf_gscale,0.012007814126275074,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,laplacian_med,0.001646090534979483,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,linear,0.07950713359273673,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,matern15_med,0.0016460905349793941,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,matern25_med,-0.001923107716449679,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,poly2,-0.001955132824134087,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,poly3,0.04657571536084289,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
svc,rbf_gscale,0.03414677106851769,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
gpc,laplacian_med,0.0035691982514291175,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,linear,-0.018273526444732745,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,matern15_med,0.0048630126018798904,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,matern25_med,0.007018302349041638,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,poly2,-0.013974155738098681,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,poly3,-0.027817008534691157,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,rbf_gscale,0.012007814126275074,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,laplacian_med,0.001646090534979483,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,linear,0.07909561095899187,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,matern15_med,0.0016460905349793941,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,matern25_med,-0.001923107716449679,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,poly2,-0.001955132824134087,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,poly3,0.04657571536084289,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
svc,rbf_gscale,0.03414677106851769,m1_hist_byteent__ms42__q1000_id500_ood500,123,999
gpc,laplacian_med,-0.016349554335824367,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,linear,-0.11131042870173306,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,matern15_med,-0.005677617576931082,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,matern25_med,0.0011953721335872468,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,poly2,-0.03956889792130067,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,poly3,0.00969899665551841,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,rbf_gscale,0.03670928613720377,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,laplacian_med,0.0003088444736042195,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,linear,-0.004167000048006919,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,matern15_med,-0.002737994271175026,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,matern25_med,-0.003952569169960474,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,poly2,-0.02526443807908334,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,poly3,0.024445120097293983,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
svc,rbf_gscale,0.03562913059480566,m1_hist_byteent__ms42__q1000_id500_ood500,7,123
gpc,laplacian_med,-0.016349554335824367,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
