task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,svc,train_cv,1.0,0.6541352045179556,ood_test,0.0306239128112792,cuda,0.709,0.6922511723135856,0.6946199592616729,0.6283524904214559,0.7407742223102833,0.6798106732741271,,,,
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,gpc,not_applicable,,,validation,2.060947895050049,cuda,0.716,0.6289505068574835,0.6363524615353097,0.4661654135338345,0.6727415026833631,0.5376398281270627,0.608394258736329,0.209623913362471,0.1336302996485051,0.6574564985940933
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,gpc,not_applicable,,,id_test,2.060947895050049,cuda,0.732,0.6593752313272634,0.6676587301587302,0.5214285714285715,0.7280331630764676,0.6294944628322949,0.5833734349673082,0.1983994078413842,0.1483412942989058,0.6521554596499436
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,gpc,not_applicable,,,ood_test,2.060947895050049,cuda,0.69,0.6466712898751734,0.6438419117647058,0.515625,0.6970725183277194,0.6495265408815799,0.6134087960893178,0.2126972552838542,0.0700957425374203,0.6488861663678078
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,svc,fixed_c1,1.0,,validation,0.0293147563934326,cuda,0.676,0.6524299344066786,0.6420427427480511,0.5317919075144508,0.7057431425163982,0.5348921408475751,,,,
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,svc,fixed_c1,1.0,,id_test,0.0293147563934326,cuda,0.714,0.6989969649863055,0.6861268047708726,0.5925925925925926,0.7584943371085943,0.6381087583337897,,,,
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,svc,fixed_c1,1.0,,ood_test,0.0293147563934326,cuda,0.709,0.6922511723135856,0.6946199592616729,0.6283524904214559,0.7407742223102833,0.6798106732741271,,,,
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,svc,train_cv,1.0,0.6563559136855694,validation,0.0305874347686767,cuda,0.652,0.6349880739415623,0.6214692215318749,0.5139664804469274,0.7107371794871795,0.5190915178950384,,,,
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,svc,train_cv,1.0,0.6563559136855694,id_test,0.0305874347686767,cuda,0.678,0.6624657635650307,0.6493154026774006,0.5490196078431373,0.7324376341698127,0.6265897853509363,,,,
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,svc,train_cv,1.0,0.6563559136855694,ood_test,0.0305874347686767,cuda,0.677,0.6621342711842018,0.6634010664871473,0.5957446808510638,0.7345741694736145,0.6530849267449722,,,,
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,gpc,not_applicable,,,validation,2.149042844772339,cuda,0.716,0.6026759093619559,0.6062206052001065,0.3983050847457627,0.6803816338700059,0.5371076966350123,0.5827423824183603,0.1981579836368238,0.0856744750721428,0.6341299332845843
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,gpc,not_applicable,,,id_test,2.149042844772339,cuda,0.74,0.6345769487008661,0.643640350877193,0.4583333333333333,0.704974461470131,0.6079269931603638,0.5705503899762138,0.1919946145088124,0.1058255020420244,0.6323881223522231
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,gpc,not_applicable,,,ood_test,2.149042844772339,cuda,0.656,0.598870616207648,0.5779658937553674,0.3964912280701754,0.7205311736345023,0.6507892466173704,0.6069002687191878,0.2101037268480846,0.0589555590295038,0.627674397111837
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,svc,fixed_c1,1.0,,validation,0.0320005416870117,cuda,0.652,0.6349880739415623,0.6214692215318749,0.5139664804469274,0.7107371794871795,0.5190915178950384,,,,
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,svc,fixed_c1,1.0,,id_test,0.0320005416870117,cuda,0.678,0.6624657635650307,0.6493154026774006,0.5490196078431373,0.7324376341698127,0.6265897853509363,,,,
acsincome,q2000,999,quantum,zmap_r2__as2,10,zmap_r2__as2__d10,svc,fixed_c1,1.0,,ood_test,0.0320005416870117,cuda,0.677,0.6621342711842018,0.6634010664871473,0.5957446808510638,0.7345741694736145,0.6530849267449722,,,,
acsincome,q2000,999,classical_ext,linear,12,linear__d12,svc,train_cv,100.0,0.7023288585162426,validation,0.0422084331512451,analytic_cpu,0.67,0.6883571854502087,0.6547756041426928,0.5822784810126582,0.7737216756112105,0.5938678832242567,,,,
