source,setting,qs,model,scope,predictor,kind,rho,n_cells,group
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,all,kta_drop_id_to_ood,diagnostic,-0.185761957730812,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,all,kta_train,honest,0.4420467185761958,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,all,kta_id,honest,0.45272525027808674,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,all,spec_train_eff_rank,honest,0.13058954393770855,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,all,ood_novelty_ratio,label_free,-0.11902113459399331,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,quantum,kta_ood,diagnostic,-0.0781954887218045,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,quantum,kta_drop_id_to_ood,diagnostic,0.3293233082706767,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,quantum,kta_train,honest,0.43458646616541347,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,quantum,kta_id,honest,0.39999999999999997,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,quantum,spec_train_eff_rank,honest,-0.4601503759398496,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,quantum,ood_novelty_ratio,label_free,0.4631578947368421,20,ember_m1
