setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
unsw_recon__m2_centroid__ms999__q4000_id1800_ood1800,gpc,0.9229600982538362,0.019983723451820007,0.9026568496800199,15,0.9490627863346737,5,0.9490627863346737,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms999__q4000_id1800_ood1800,svc,0.9256730268813285,0.013908083661121038,0.9036458640508674,15,0.9457952106092264,5,0.9484664001821006,zmap_r2__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__natural_cur__ms123__q1000_id500_ood500,gpc,0.764437962450715,0.025759002941339204,0.8981370802934312,15,0.7967112750052896,5,0.7967112750052896,zz_r2_full__gpc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms123__q1000_id500_ood500,svc,0.7839641513120871,0.019583124281095075,0.8998664940803321,15,0.7874350662653133,5,0.7968791174092242,zz_r1_full__svc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.7904957917771983,0.03285647423993034,0.905744814701416,15,0.8027129844796695,5,0.8027129844796695,zz_r1_full__gpc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms123__q2000_id1000_ood1000,svc,0.798999451628754,0.028720194059483974,0.9063613814832172,15,0.8021597974039683,5,0.8021597974039683,zz_r1_full__svc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.8131240858646491,0.017838495716498565,0.9079747941083612,15,0.8069691769628202,5,0.8117173433430446,zz_r2_full__gpc__d12,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms123__q4000_id1800_ood1800,svc,0.8090078628185194,0.020208672387656567,0.9093079284575514,15,0.8039135945018936,5,0.811017350149498,zz_r1_full__svc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms42__q1000_id500_ood500,gpc,0.7596273326012771,0.028198359825137485,0.8941905783249433,15,0.7539840691958736,5,0.7844918744685203,pauli_xz_r1_full__gpc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms42__q1000_id500_ood500,svc,0.7595009380700798,0.026206104904394952,0.8956891865241244,15,0.7780061090301545,5,0.7780061090301545,zz_r2_full__svc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.8135701146204853,0.009371559856764591,0.9025783097254383,15,0.8171127379101616,5,0.8171127379101616,zz_r1_full__gpc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms42__q2000_id1000_ood1000,svc,0.8180572261600131,0.019542729792848504,0.9054768165427431,15,0.8091268179557398,5,0.8154409205198424,zz_r1_full__svc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.8059117545856853,0.007736461544953422,0.9106491086350688,15,0.808040652482316,5,0.8133090347807886,zz_r1_full__gpc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms42__q4000_id1800_ood1800,svc,0.8041463827966234,0.013905517798346836,0.9105540557738948,15,0.8025462059268926,5,0.8148303814377432,zz_r1_full__svc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms999__q1000_id500_ood500,gpc,0.7735328806051487,0.009867302344880032,0.9005104945005841,15,0.7613756382330904,5,0.7821452125430212,zz_r2_full__gpc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms999__q1000_id500_ood500,svc,0.7807310526040034,0.017844435013617817,0.8984430754308935,15,0.7616341603271813,5,0.7807377599208812,zz_r1_full__svc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.7951435049121299,0.02332190736732253,0.9100331847758888,15,0.8142815835491459,5,0.814281583549146,zz_r2_full__gpc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms999__q2000_id1000_ood1000,svc,0.7955906288652815,0.015826380918494372,0.9091766183895077,15,0.808960646959051,5,0.8089606469590509,zz_r2_full__svc__d6,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.805229696979284,0.013832074248625422,0.9119799878899606,15,0.796787363934488,5,0.8066602806366897,zz_r1_full__gpc__d4,quantum,20,unsw_recon_natural_cur
unsw_recon__natural_cur__ms999__q4000_id1800_ood1800,svc,0.7945789096694766,0.01455132363732518,0.9128462459265086,15,0.8140488336314196,5,0.8140488336314197,zz_r2_full__svc__d6,quantum,20,unsw_recon_natural_cur
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,gpc,0.8600760739898198,0.11154472133064082,0.971588957015907,15,0.90791838309129,5,0.9098868870282978,laplacian_med__gpc__d8,classical_ext,35,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,0.875272964927728,0.06842592801892215,0.9779607856360613,15,0.9381401273603434,5,0.9434528918428385,laplacian_med__svc__d12,classical_ext,35,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,gpc,0.9316887710944168,0.006746684840314884,0.9796565366014696,15,0.9287641117082874,5,0.9323691747545777,laplacian_med__gpc__d4,classical_ext,35,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9523121847132646,0.00862849087189797,0.9824584204500135,15,0.9542780616967266,5,0.9542780616967266,laplacian_med__svc__d12,classical_ext,35,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,gpc,0.9309030767633888,0.004977921241055797,0.987570738830603,15,0.9335467124345473,5,0.9335467124345473,laplacian_med__gpc__d4,classical_ext,35,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9546383337522438,0.0027613864239209515,0.992114338122316,15,0.9554515585380713,5,0.9554515585380713,laplacian_med__svc__d10,classical_ext,35,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,gpc,0.906611060134378,0.018031529083697047,0.975773782599916,15,0.8885714386925174,5,0.9056890621369174,laplacian_med__gpc__d12,classical_ext,35,toniot_scanning_m2_centroid
