variant_name,master_seed,size_tag,family,dim,cfg,n_runs,drop_bal_acc_mean,drop_bal_acc_std
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,4,zz_r2_full__d4,15,0.027049530918916525,0.022633182417519996
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,4,zz_r1_full__d4,15,0.028526239574672915,0.023530762899702955
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,6,zz_r2_full__d6,15,0.028538897977343526,0.013111171242705345
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,8,zz_r1_full__d8,15,0.03546579130082923,0.008589012229540817
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,10,zz_r1_full__d10,15,0.03615394596239554,0.013392657851548386
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,8,zz_r2_full__d8,15,0.03737605631404588,0.010658032065407956
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,6,zz_r1_full__d6,15,0.04008345821926763,0.01192152364889811
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,12,zz_r1_full__d12,15,0.044694434838368144,0.013684868471277666
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,10,zz_r2_full__d10,15,0.048430925956389224,0.013934171025762526
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,12,zz_r2_full__d12,15,0.05552995705466135,0.013591522203673826
m1_hist_byteent,999,size_q1000_id500_ood500,classical,6,linear,15,-0.0361151372069796,0.03187253108513079
m1_hist_byteent,999,size_q1000_id500_ood500,classical,12,rbf_gscale,15,-0.018675839363415835,0.03750880022167885
m1_hist_byteent,999,size_q1000_id500_ood500,classical,8,rbf_gscale,15,-0.013982596832551052,0.03967346852744455
m1_hist_byteent,999,size_q1000_id500_ood500,classical,4,rbf_gscale,15,-0.011946993341731904,0.037061720594618645
m1_hist_byteent,999,size_q1000_id500_ood500,classical,10,rbf_gscale,15,-0.011176373175395816,0.043572705643173094
m1_hist_byteent,999,size_q1000_id500_ood500,classical,4,linear,15,-0.006304278526702079,0.03672182976439793
m1_hist_byteent,999,size_q1000_id500_ood500,classical,6,rbf_gscale,15,0.00951050883100446,0.036197412224291486
m1_hist_byteent,999,size_q1000_id500_ood500,classical,12,linear,15,0.03315961289588858,0.03594489201717906
m1_hist_byteent,999,size_q1000_id500_ood500,classical,8,linear,15,0.04106052915111837,0.019832320415890163
m1_hist_byteent,999,size_q1000_id500_ood500,classical,10,linear,15,0.04667058229102568,0.021048874696743478
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,4,zmap_r2__d4,15,-0.026588444486086125,0.02234564403234627
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,12,pauli_xz_r1_full__d12,15,-0.021780445254334403,0.03931909045090439
