group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta,n_classical,n_quantum
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.7742007816003588,0.7913943878531617,-0.017193606252802973,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.7889945717442475,0.7920049318665834,-0.003010360122335909,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.7889945717442475,0.7920049318665834,-0.003010360122335909,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,svc,0.7889945717442475,0.7920049318665834,-0.003010360122335909,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,42,svc,0.8088095806369036,0.7990059742948267,0.009803606342076887,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,123,svc,0.8088095806369036,0.7995853485706088,0.009224232066294746,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,999,svc,0.8088095806369036,0.7995853485706088,0.009224232066294746,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,42,svc,0.8072502237723387,0.8339238865397081,-0.026673662767369377,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,123,svc,0.7944813111515787,0.8339238865397081,-0.03944257538812934,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,999,svc,0.8072502237723387,0.8344763727275533,-0.02722614895521458,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,42,svc,0.8128465889771568,0.8114895984668171,0.0013569905103396618,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,123,svc,0.8128465889771568,0.8114895984668171,0.0013569905103396618,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.8128465889771568,0.8114895984668171,0.0013569905103396618,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.8241329877673085,0.8153514290406345,0.008781558726673966,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,123,svc,0.8241329877673085,0.8147889993443465,0.009343988422962024,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,999,svc,0.8241329877673085,0.8147889993443465,0.009343988422962024,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,svc,0.7979305019305019,0.7991814671814672,-0.0012509652509653524,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,svc,0.7979305019305019,0.809003861003861,-0.011073359073359157,115,60
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,svc,0.7979305019305019,0.7991814671814672,-0.0012509652509653524,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,42,svc,0.747819686034789,0.7329295418540269,0.014890144180762066,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,123,svc,0.747819686034789,0.7329295418540269,0.014890144180762066,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.747819686034789,0.7329295418540269,0.014890144180762066,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,42,svc,0.7241290983606558,0.7357517930327868,-0.011622694672131062,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,123,svc,0.7241290983606558,0.7357517930327868,-0.011622694672131062,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,999,svc,0.7241290983606558,0.7357517930327868,-0.011622694672131062,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,42,svc,0.7784422987622296,0.7801636483002674,-0.0017213495380378196,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,123,svc,0.7784422987622296,0.7801636483002674,-0.0017213495380378196,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,999,svc,0.7784422987622296,0.7801636483002674,-0.0017213495380378196,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,42,svc,0.7511828375137728,0.7223248428284399,0.0288579946853329,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,123,svc,0.7511828375137728,0.7223248428284399,0.0288579946853329,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,999,svc,0.7511828375137728,0.7223248428284399,0.0288579946853329,115,60
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,42,svc,0.7794919494515364,0.755452562704471,0.024039386747065405,115,60
