group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.004166333336614758,-0.010212050989384047,0.001575319737491601,0.9058
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.004625483153324894,-0.01395986684332029,0.001851136085445182,0.883
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_stratified,60,0.022702357327847644,0.013988018917424528,0.035326039228451456,0.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.0069963886047280655,-0.013051928488048481,0.00295307179166904,0.9442
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.0053641618954255454,-0.007396547147969557,0.0024507790188149498,0.7602
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_stratified,60,-0.003163009322087129,-0.009757270711896249,0.0024695985198803783,0.8076
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.021704566356225752,-0.026783822332636653,-0.014361980123436258,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.0022342993794236543,-0.009246657277820924,0.003401763400260771,0.8026
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.0023561526892823537,-0.012678579265430479,0.03205952094695541,0.6682
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.0036513534561887218,-0.010087177705884206,0.002499315411765491,0.8668
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.004600580827005207,-0.014055581122618066,0.00211135306485033,0.8812
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_blocked,60,0.012961062697457115,-0.01760440085600512,0.02518802476969706,0.4464
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.00701136442224215,-0.012091912814335082,-0.0021470191585649667,0.9934
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.004767470444246746,-0.0071779818612766055,0.0015189227542613537,0.7628
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_blocked,60,-0.002324368691466683,-0.010002725447258443,0.003158138335095373,0.7188
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.021865421625529513,-0.026541682598446827,-0.015546687734763349,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.0022342993794236543,-0.008862075458751614,0.0033942196321692375,0.8264
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_blocked,60,-0.002432972355116969,-0.013533921711357588,0.038659018870689864,0.6022
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.00442087823329218,-0.009324064091934647,0.0012332175737512774,0.9236
