setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
unsw_dos__natural_cur__ms999__q1000_id500_ood500,42,123,unsw_dos_natural_cur,0.8302061987704918,0.8337371349897541,-0.0035309362192622595,0.7856685450819672,0.825530321465164,-0.03986177638319688,-0.03986177638319688,-0.03633084016393462,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,42,999,unsw_dos_natural_cur,0.8302061987704918,0.8337371349897541,-0.0035309362192622595,0.7856685450819672,0.825530321465164,-0.03986177638319688,-0.03986177638319688,-0.03633084016393462,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,123,42,unsw_dos_natural_cur,0.7792764684234947,0.784889116625866,-0.005612648202371284,0.7852525640410246,0.7920970783532536,-0.006844514312228989,-0.006844514312228989,-0.0012318661098577044,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,123,123,unsw_dos_natural_cur,0.7792764684234947,0.784889116625866,-0.005612648202371284,0.7852525640410246,0.7920970783532536,-0.006844514312228989,-0.006844514312228989,-0.0012318661098577044,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,123,999,unsw_dos_natural_cur,0.7792764684234947,0.784889116625866,-0.005612648202371284,0.7852525640410246,0.7920970783532536,-0.006844514312228989,-0.006844514312228989,-0.0012318661098577044,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,999,42,unsw_dos_natural_cur,0.7643505983754947,0.7796350438167866,-0.015284445441291927,0.7516140918630545,0.7838929060061841,-0.03227881414312961,-0.03227881414312961,-0.01699436870183768,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,999,123,unsw_dos_natural_cur,0.7643505983754947,0.7796350438167866,-0.015284445441291927,0.7516140918630545,0.7841568064211218,-0.03254271455806734,-0.03254271455806734,-0.017258269116775415,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,999,999,unsw_dos_natural_cur,0.7643505983754947,0.779391060414297,-0.015040462038802271,0.7516140918630545,0.7838929060061841,-0.03227881414312961,-0.03227881414312961,-0.017238352104327337,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,2024,42,unsw_dos_natural_cur,0.7986680327868853,0.8337322553790983,-0.03506422259221309,0.8241547131147541,0.8426208632172131,-0.018466150102459,-0.018466150102459,0.01659807248975409,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,2024,123,unsw_dos_natural_cur,0.7986680327868853,0.8337322553790983,-0.03506422259221309,0.8241547131147541,0.8426208632172131,-0.018466150102459,-0.018466150102459,0.01659807248975409,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,2024,999,unsw_dos_natural_cur,0.7986680327868853,0.8337322553790983,-0.03506422259221309,0.8241547131147541,0.8426208632172131,-0.018466150102459,-0.018466150102459,0.01659807248975409,999,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,7,42,unsw_recon_m2_centroid,0.9122374487704918,0.9098384349385248,0.002399013831967056,0.8881275614754098,0.9170922771516394,-0.028964715676229602,-0.028964715676229602,-0.03136372950819666,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,7,123,unsw_recon_m2_centroid,0.9122374487704918,0.9098384349385248,0.002399013831967056,0.8881275614754098,0.9170922771516394,-0.028964715676229602,-0.028964715676229602,-0.03136372950819666,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,7,999,unsw_recon_m2_centroid,0.9122374487704918,0.9098384349385248,0.002399013831967056,0.8881275614754098,0.9170922771516394,-0.028964715676229602,-0.028964715676229602,-0.03136372950819666,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,42,42,unsw_recon_m2_centroid,0.9500768049155146,0.9227447004608296,0.027332104454685036,0.9301075268817204,0.9211407578084998,0.008966769073220582,0.008966769073220582,-0.018365335381464454,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,42,123,unsw_recon_m2_centroid,0.9500768049155146,0.9227447004608296,0.027332104454685036,0.9301075268817204,0.9211407578084998,0.008966769073220582,0.008966769073220582,-0.018365335381464454,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,42,999,unsw_recon_m2_centroid,0.9500768049155146,0.9227447004608296,0.027332104454685036,0.9301075268817204,0.9211407578084998,0.008966769073220582,0.008966769073220582,-0.018365335381464454,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,123,42,unsw_recon_m2_centroid,0.8774406247999489,0.9201896773574033,-0.042749052557454426,0.9168107035401064,0.9271797132065811,-0.010369009666474693,-0.010369009666474693,0.03238004289097973,123,1000,unsw
