case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,40,-0.318,-0.338,-0.302,0.028,0.02,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,50,-0.31,-0.334,-0.286,0.028,0.02,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,75,-0.29,-0.3141,-0.266,0.024,0.016,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,100,-0.27,-0.2981,-0.24589999999999998,0.024,0.012,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,150,-0.226,-0.262,-0.2019,0.02,0.008,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,200,-0.186,-0.222,-0.15389999999999998,0.016,0.002,0.026
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,300,-0.104,-0.138,-0.07,0.004,-0.012,0.018
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,400,-0.044,-0.056,-0.036,-0.012,-0.024,0.002
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,500,-0.032,-0.032,-0.032,-0.032,-0.032,-0.032
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0,-0.364,-0.364,-0.364,0.088,0.088,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,5,-0.356,-0.364,-0.348,0.088,0.08,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,10,-0.348,-0.36,-0.3399,0.084,0.076,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,20,-0.336,-0.352,-0.32,0.084,0.072,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,30,-0.324,-0.3401,-0.304,0.08,0.068,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,40,-0.308,-0.332,-0.288,0.076,0.064,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,50,-0.296,-0.316,-0.276,0.076,0.056,0.084
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,75,-0.26,-0.28809999999999997,-0.236,0.068,0.048,0.08
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,100,-0.224,-0.256,-0.192,0.06,0.0439,0.08
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,150,-0.156,-0.192,-0.124,0.048,0.024,0.068
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,200,-0.11,-0.1281,-0.09389999999999998,0.032,0.011900000000000003,0.05210000000000002
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,300,-0.09,-0.102,-0.074,0.003,-0.02,0.024
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,400,-0.074,-0.09,-0.066,-0.028,-0.044,-0.011899999999999978
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,500,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0,-0.364,-0.364,-0.364,0.088,0.088,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,5,-0.356,-0.364,-0.348,0.088,0.08,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,10,-0.348,-0.36,-0.3399,0.084,0.076,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,20,-0.336,-0.352,-0.32,0.084,0.072,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,30,-0.324,-0.3401,-0.304,0.08,0.068,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,40,-0.308,-0.332,-0.288,0.076,0.064,0.088
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,50,-0.296,-0.316,-0.276,0.076,0.056,0.084
