group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,123,svc,0.7871611343293141,0.7819970857152008,0.005164048614113348
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,999,svc,0.7871611343293141,0.7819970857152008,0.005164048614113348
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,42,svc,0.7534188865124116,0.7677587659602048,-0.014339879447793136
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,123,svc,0.7534188865124116,0.7677587659602048,-0.014339879447793136
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,999,svc,0.7534188865124116,0.7677587659602048,-0.014339879447793136
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,42,svc,0.7794919494515364,0.7928667650266213,-0.013374815575084908
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,123,svc,0.7794919494515364,0.7928667650266213,-0.013374815575084908
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,999,svc,0.7794919494515364,0.7928667650266213,-0.013374815575084908
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,7,42,svc,0.7969830509835085,0.8047632234837996,-0.0077801725002910604
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,7,123,svc,0.7969830509835085,0.8047632234837996,-0.0077801725002910604
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,7,999,svc,0.7969830509835085,0.8047632234837996,-0.0077801725002910604
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,42,42,svc,0.8050559280536398,0.810116656798579,-0.005060728744939236
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,42,123,svc,0.8050559280536398,0.810116656798579,-0.005060728744939236
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,42,999,svc,0.8050559280536398,0.810116656798579,-0.005060728744939236
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,123,42,svc,0.7969793271700052,0.8014894709809963,-0.00451014381099113
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,123,123,svc,0.7969793271700052,0.8014894709809963,-0.00451014381099113
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,123,999,svc,0.7969793271700052,0.8014894709809963,-0.00451014381099113
