group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,uniform,20,0.145452422284588,0.044500272377167915,0.1915437535539376,0.0004
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,uniform,20,-0.018518966159857042,-0.0296740867659957,-0.007019405535130918,0.9958
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,uniform,20,0.0035413278845839447,-0.01006010321772921,0.03035462245692444,0.3258
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,uniform,20,-0.009836480742192788,-0.013042589881240851,0.005930673387788521,0.8882
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,uniform,20,0.011653597411640293,-0.007445125356018833,0.013590334352033495,0.1644
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,uniform,20,-0.0202014430571813,-0.026625106119240183,0.008136158816547723,0.8768
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,uniform,20,0.029743807284689505,-0.006830304226841721,0.07103415801571761,0.0746
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,uniform,20,0.01978091896587164,-0.01262490090126478,0.07911890783143893,0.435
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,uniform,20,-0.026120639481999053,-0.04356288830815824,-0.014355157062578172,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_stratified,20,0.145452422284588,0.04480920376917075,0.17020381379129468,0.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_stratified,20,-0.020153844478793204,-0.03004077424898255,-0.008979686001782783,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_stratified,20,0.004804210412968302,-0.007779434412652608,0.03035462245692444,0.3044
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_stratified,20,-0.009836480742192788,-0.013042589881240851,-0.0024007635278777695,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_stratified,20,0.011994449541966046,-0.0038511088679816785,0.013590334352033495,0.1704
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_stratified,20,-0.0202014430571813,-0.026625106119240183,0.008136158816547723,0.8848
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_stratified,20,0.017747392811703344,-0.011834580173380793,0.06537607701157766,0.077
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_stratified,20,0.022370353612953697,-0.01262490090126478,0.07905947293516047,0.4
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_stratified,20,-0.026120639481999053,-0.0400479802498418,-0.014355157062578172,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_blocked,20,0.15055046150027418,0.0021332697229204944,0.21410216260450388,0.0196
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_blocked,20,-0.018407403908832665,-0.020726293278652386,0.0038938977803543162,0.8844
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_blocked,20,0.00035086416350571525,-0.0015913481142529884,0.008136100888442237,0.0958
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_blocked,20,-0.010248003375937786,-0.010248003375937786,0.02719844826334139,0.8266
